名称,0时,1时,2时,3时,4时,5时,6时,7时,8时,9时,10时,11时,12时,13时,14时,15时,16时,17时,18时,19时,20时,21时,22时,23时,24时,25时,26时,27时,28时,29时,质量差计数,缺失数据计数
学1栋1536室电表,0.69,0.11,0.02,0.02,0.02,0.01,0.01,0.02,0.05,0.01,0.13,0.29,0.29,0.56,0.72,0.7,0.81,0.75,0.66,0.62,0.45,0.53,0.87,0.89,0.62,0.07,0.01,0.02,0.01,0.03,0,0
学1栋1538室电表,0.45,0.21,0.1,0.04,0.03,0.02,0.01,0.01,0.02,0.01,0.02,0.02,0.32,0.46,0.69,0.45,0.64,0.54,0.61,0.65,0.23,0.3,0.5,0.45,0.64,0.51,0.35,0.25,0.05,0.02,0,0
学1栋1603室电表,0.12,0.11,0.14,0.09,0.1,0.08,0.08,0.08,0.09,0.07,0.15,0.31,0.19,0.1,0.03,0.17,0.53,0.3,0.45,0.21,0.21,0.58,0.39,0.36,0.07,0.06,0.07,0.03,0.02,0.02,0,0
学1栋1605室电表,0.36,0.32,0.32,0.25,0.27,0.23,0.23,0.21,0.09,0.1,0.15,0.15,0.13,0.42,0.23,0.38,0.34,0.33,0.31,0.41,0.35,0.38,0.41,0.35,0.32,0.3,0.34,0.35,0.13,0.04,0,0
学1栋1606室电表,0.24,0.07,0.02,0.01,0.01,0.01,0.01,0,0.02,0.02,0.21,0.15,0.45,0.32,0.3,0.22,0.34,0.41,0.38,0.14,0.14,0.4,0.26,0.3,0.22,0.13,0.01,0.01,0.03,0,0,0
学1栋1607室电表,0.54,0.12,0.31,0.14,0.04,0.04,0.04,0.06,0.13,0.3,0.55,0.33,0.35,0.37,0.39,0.33,0.26,0.36,0.4,0.6,0.53,0.57,0.68,0.66,0.37,0.26,0.36,0.17,0.02,0.02,0,0
学1栋1608室电表,0.39,0.28,0.29,0.19,0.22,0.18,0.18,0.2,0.11,0.19,0.35,0.49,0.57,0.66,0.55,0.46,0.37,0.35,0.65,0.6,0.65,0.8,0.76,0.59,0.52,0.26,0.12,0.13,0.12,0.11,0,0
学1栋1610室电表,0.23,0.07,0.05,0.04,0.04,0.03,0.03,0.02,0.04,0.16,0.27,0.26,0.26,0.25,0.45,0.44,0.46,0.34,0.23,0.33,0.32,0.33,0.38,0.62,0.54,0.29,0.08,0.04,0.03,0.03,0,0
学1栋1612室电表,0.26,0.19,0.14,0.12,0.18,0.13,0.15,0.13,0.14,0.13,0.14,0.1,0.13,0.46,0.36,0.14,0.17,0.26,0.29,0.48,0.98,0.58,0.78,0.52,0.26,0.26,0.17,0.17,0.13,0.12,0,0
学1栋1615室电表,0.51,0.21,0.09,0.03,0.03,0.02,0.02,0.02,0.05,0.45,0.69,0.23,0.19,0.6,0.62,0.12,0.21,0.86,0.83,0.8,0.27,0.28,0.66,0.75,0.63,0.57,0.34,0.13,0.06,0.07,0,0
学1栋1617室电表,0.19,0.11,0.07,0.06,0.05,0.04,0.04,0.05,0.06,0.14,0.16,0.06,0.01,0.17,0.18,0.09,0.14,0.16,0.45,0.39,0.02,0.08,0.61,0.4,0.12,0.09,0.08,0.05,0.07,0.04,0,0
学1栋1618室电表,0.19,0.02,0.01,0.02,0.05,0.07,0.08,0.07,0.07,0.36,0.64,0.15,0.08,0.38,0.22,0.01,0.24,0.77,0.69,0.38,0.13,0.25,0.59,0.77,0.49,0.03,0.04,0.02,0.02,0.07,0,0
学1栋1619室电表,0.48,0.35,0.08,0.02,0.02,0.02,0.02,0.02,0.04,0.06,0.17,0.04,0.03,0.36,0.28,0.07,0.1,0.1,0.41,0.49,0.21,0.37,0.87,0.72,0.41,0.21,0.09,0.02,0.02,0.02,0,0
学1栋1620室电表,0.65,0.29,0.09,0.06,0.1,0.05,0.03,0.02,0.05,0.07,0.05,0.04,0.02,0.59,0.8,0.24,0.43,0.87,0.8,0.6,0.1,0.2,0.7,0.63,0.37,0.23,0.09,0.05,0.04,0.03,0,0
学1栋1626室电表,0.36,0.24,0.09,0.04,0.06,0.05,0.05,0.04,0.1,0.2,0.2,0.1,0.08,0.26,0.17,0.07,0.09,0.07,0.1,0.27,0.08,0.2,0.68,0.41,0.24,0.2,0.14,0.09,0.1,0.1,0,0
学1栋1629室电表,0.5,0.31,0.08,0.05,0.03,0.05,0.03,0.04,0.07,0.03,0.03,0.02,0.03,0.13,0.05,0.03,0.02,0.03,0.02,0.03,0.03,0.26,1.22,0.8,0.58,0.09,0.05,0.05,0.05,0.05,0,0
学1栋1640室电表,0.26,0.14,0.01,0.03,0.02,0.01,0.02,0.05,0.02,0.01,0.01,0.02,0.01,0.1,0.17,0.04,0.24,0.2,0.32,0.35,0.55,0.48,1.03,0.72,0.37,0.13,0.08,0.06,0.06,0.04,0,0
学1栋1646室电表,0.51,0.31,0.06,0.04,0.04,0.05,0.04,0.04,0.07,0.04,0.05,0.04,0.04,0.13,0.11,0.05,0.23,0,0.1,0.34,0.45,0.49,0.72,0.63,0.33,0.08,0.08,0.05,0.04,0.05,0,0
学2栋2201室电表,0.37,0.03,0.04,0,0.04,0,0.04,0,0.06,0,0.04,0,0.29,0,0.91,0,0.53,0,0.85,0,1.59,0,2.01,0,0.45,0,0.03,0.02,0.02,0.03,0,0
学2栋2206室电表,0.31,0.2,0.13,0,0.1,0.01,0.1,0,0.49,0,0.68,0,0.45,0,0.8,0,1.38,0,1.51,0,1.41,0,1.41,0,0.38,0,0.08,0.07,0.06,0.07,0,0
学2栋2207室电表,0.45,0.18,0.22,0,0.2,0.02,0.2,0,0.24,0,0.35,0.02,0.69,0,1.08,0,0.28,0,0.88,0,1.41,0,1.41,0,0.6,0,0.07,0.07,0.06,0.07,0,0
学2栋2208室电表,0.48,0.15,0.04,0,0.04,0,0.03,0,0.07,0,0.04,0.01,0.37,0,1.13,0,1.67,0,1.34,0,1.16,0,1.46,0,1.09,0,0.38,0.03,0.02,0.02,0,0
学2栋2209室电表,0.35,0.23,0.05,0,0.03,0,0.03,0,0.06,0,0.28,0.02,0.5,0,1.04,0,0.44,0,0.43,0,0.7,0,1.31,0,0.77,0,0.2,0.11,0.11,0.12,0,0
学2栋2210室电表,0.26,0.25,0.14,0,0.03,0,0.05,0,0.12,0,0.22,0.03,0.26,0,0.36,0,0.31,0,0.42,0,0.61,0,0.75,0,0.23,0,0.04,0.02,0.02,0.03,0,0
学2栋2212室电表,0.23,0.1,0.09,0,0.05,0,0.06,0,0.15,0,0.35,0.04,0.45,0,0.62,0,0.87,0.08,0.81,0,0.88,0,1.02,0,0.33,0,0.06,0.04,0.05,0.06,0,0
学2栋2215室电表,0.04,0.03,0.06,0,0.11,0,0.71,0,0.87,0,0.42,0,1.03,0,0.14,0,0.44,0.09,0.54,0,0.14,0,0.93,0,0.06,0,0.04,0.02,0.03,0.04,0,0
学2栋2216室电表,0.57,0.17,0.13,0,0.04,0,0.04,0,0.07,0,0,0,0.19,0,0.68,0,0.62,0.07,0.74,0,0.8,0,1.09,0,0.98,0,0.29,0.13,0.03,0.03,0,0
学2栋2217室电表,0.55,0.04,0.04,0,0.04,0,0.02,0,0.06,0,0.02,0,0.27,0,0.66,0,0.65,0.06,0.68,0,0.84,0,1.05,0,0.39,0,0.12,0.03,0.03,0.01,0,0
学2栋2218室电表,0.53,0.25,0.18,0,0.23,0,0.12,0,0.25,0,0.44,0,0.6,0,0.89,0,0.2,0.02,0.82,0,0.9,0,1.19,0.1,0.69,0,0.05,0.02,0.03,0.04,0,0
学2栋2219室电表,0.59,0.23,0.21,0,0.15,0,0.18,0,0.3,0,0.11,0,0.41,0,0.66,0,0.52,0,0.58,0,0.75,0,0.9,0.11,0.85,0,0.19,0.1,0.1,0.08,0,0
学2栋2220室电表,0.31,0.11,0.13,0,0.14,0,0.14,0,0.11,0,0.1,0,0.37,0,0.49,0,0.51,0,0.91,0,1.13,0,0.88,0.1,0.47,0,0.03,0.04,0.04,0.04,0,0
学2栋2221室电表,0,0.23,0.05,0.02,0,0.01,0,0.03,0,0.02,0,0.01,0,0.73,0,0.62,0,0.38,0,0.45,0,0.78,0,0.73,0,0.31,0,0.01,0.02,0.01,0,0
学2栋2222室电表,0,0.2,0.06,0.04,0,0.03,0,0.1,0,0.02,0,0.01,0,0.76,0,0.84,0,1.03,0,1.1,0,1.01,0,1.01,0,0.21,0,0.04,0.01,0.05,0,0
学2栋2223室电表,0,0.19,0.03,0.06,0,0.05,0,0.08,0,0.05,0,0.21,0,0.58,0,0.52,0,1.14,0,0.98,0,1.11,0,0.99,0,0.35,0,0.14,0.1,0.07,0,0
学2栋2229室电表,0.04,0.18,0.1,0.03,0.03,0.04,0,0.03,0.05,0.53,0,0.24,0.29,0.54,0,0.14,0.05,0.08,0,0.37,0.51,0.89,0,0.6,0.37,0.26,0,0.08,0.07,0.06,0,0
学2栋2230室电表,0.05,0.13,0.07,0.03,0.02,0.04,0,0.02,0.03,0.04,0,0.02,0.02,1.08,0,0.24,0.25,1.39,0,0.75,0.77,1.35,0,0.28,0.36,0.15,0,0.03,0.02,0.02,0,0
学2栋2232室电表,0.05,0.23,0.19,0.26,0,0.15,0,0.12,0,0.48,0,0.53,0,0.15,0,0.03,0,0.14,0,0.91,0,1.1,0,0.69,0,0.53,0,0.14,0.12,0.14,0,0
学2栋2236室电表,0.01,0.07,0.08,0.04,0.05,0.14,0,0.06,0.15,0.34,0,0.18,0.21,0.3,0,0.1,0.24,0.26,0,0.49,0.19,0.54,0,0.24,0.17,0.11,0,0.07,0.05,0.03,0,0
学2栋2238室电表,0,0.02,0.01,0.02,0,0.01,0.01,0.03,0,1.01,0,0.88,0,0.58,0,0.3,0,0.35,0,0.97,0,0.96,0,0.47,0,0.03,0,0.01,0.01,0.01,0,0
学2栋2301室电表,0.58,0.11,0.04,0.05,0.04,0.04,0.05,0.04,0.1,0.04,0.04,0.07,0.17,0.15,0.08,0.08,0.1,0.16,0.23,0.18,0.42,0.31,0.36,0.39,0.21,0.4,0.07,0.04,0.04,0.03,0,0
学2栋2305室电表,0.21,0.21,0.13,0.04,0.03,0.03,0.02,0.04,0.04,0.03,0.03,0.08,0.19,0.21,0.22,0.06,0.08,0.11,0.14,0.24,0.22,0.37,0.63,0.53,0.61,0.53,0.51,0.39,0.31,0.3,0,0
学2栋2306室电表,0.21,0.09,0.02,0.01,0.01,0.02,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.34,0.38,0.48,0.41,0.31,0.3,0.34,0.35,0.35,0.33,0.36,0.26,0.19,0.18,0.15,0.13,0.14,0,0
学2栋2307室电表,0.47,0.24,0.11,0.12,0.15,0.19,0.16,0.22,0.19,0.21,0.21,0.34,0.49,0.41,0.28,0.17,0.22,0.35,0.67,0.35,0.63,0.76,1.09,0.79,0.33,0.33,0.14,0.15,0.16,0.21,0,0
学2栋2309室电表,0.36,0.1,0.07,0.07,0.08,0.08,0.07,0.07,0.06,0.02,0.01,0.01,0.01,0.37,0.42,0.42,0.34,0.39,0.5,0.51,0.35,0.41,0.62,0.51,0.52,0.29,0.14,0.04,0.03,0.03,0,0
学2栋2312室电表,0.48,0.11,0.06,0.07,0.06,0.06,0.07,0.08,0.08,0.07,0.06,0.06,0.27,0.62,0.3,0.22,0.2,0.31,0.47,0.41,0.39,0.48,0.49,0.49,0.21,0.1,0.1,0.08,0.07,0.07,0,0
学2栋2313室电表,0.43,0.13,0.13,0.14,0.12,0.1,0.06,0.08,0.11,0.15,0.01,0.37,0.37,0.48,0.32,0.13,0.05,0.61,0.8,0.31,0.73,0.96,1.23,0.75,0.5,0.16,0.11,0.09,0.07,0.08,0,0
学2栋2315室电表,0.4,0.11,0.03,0.02,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.26,0.32,0.46,0.34,0.2,0.17,0.42,0.68,0.4,0.47,0.55,0.67,0.66,0.61,0.17,0.07,0.01,0.01,0.02,0,0
学2栋2316室电表,0.13,0.11,0.05,0.02,0.02,0.04,0.02,0.03,0.04,0.02,0.02,0.15,0.13,0.15,0.29,0.12,0.19,0.44,0.45,0.33,0.59,0.61,0.55,0.31,0.18,0.13,0.05,0.02,0.01,0.02,0,0
学2栋2317室电表,0.31,0.14,0.04,0.03,0.03,0.04,0.03,0.05,0.03,0,0,0.14,0.22,0.45,0.45,0.45,0.44,0.59,0.53,0.41,0.82,0.66,0.66,0.38,0.36,0.11,0.04,0.04,0.04,0.05,0,0
学2栋2318室电表,0.16,0.02,0.02,0.01,0.01,0.01,0.01,0.11,0.04,0.31,0.34,0.24,0.17,0.15,0.18,0.07,0.04,0.05,0.22,0.56,0.66,0.83,0.87,0.59,0.22,0.05,0.05,0.02,0.01,0.01,0,0
学2栋2319室电表,0.4,0.24,0.06,0.03,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.23,0.15,0.1,0.39,0.2,0.21,0.33,0.34,0.37,0.53,0.59,0.47,0.09,0.06,0.02,0.03,0.02,0,0
学2栋2321室电表,0.1,0.04,0.01,0.01,0.02,0.01,0.01,0.01,0.03,0.05,0.31,0.09,0.1,0.16,0.18,0.15,0.28,0.36,0.47,0.64,0.53,0.48,0.48,0.42,0.08,0.07,0.07,0.07,0.07,0.06,0,0
